PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Israel Sheinfeld,PF-C,-,DNE,-,-,-,DNE,DNE,DNE,6' 8.25'',,8' 10.5'',239,6' 9.75'',2002
J.R. Bremer,SG-PG,10.93,DNE,3.1,30,35.5,DNE,DNE,DNE,6' 1.25'',,8' 0'',188,6' 2.25'',2002
Jannero Pargo,PG,11.11,DNE,3.2,25.5,29.5,DNE,DNE,DNE,6' 0.25'',,8' 0'',168,6' 2.5'',2002
Jared Jeffries,PF,11.73,DNE,3.4,26,30,DNE,DNE,DNE,6' 10'',,9' 1'',230,7' 0.5'',2002
Jason Jennings,C,11.92,DNE,3.62,29,32,DNE,DNE,DNE,6' 11.25'',,9' 3'',249,7' 7'',2002
Jay Williams,PG,10.34,DNE,3.09,28.5,36,DNE,DNE,DNE,6' 0.25'',,8' 1'',197,6' 3.5'',2002
Jobey Thomas,SG,11.46,DNE,3.3,26,32,DNE,DNE,DNE,6' 2.75'',,8' 3.5'',183,6' 5.75'',2002
John Salmons,SF-SG,11.35,DNE,3.25,30.5,34.5,DNE,DNE,DNE,6' 5.5'',,8' 8'',207,6' 10.25'',2002
Julian Sensley,PF-SF,11.85,DNE,3.32,27.5,31.5,DNE,DNE,DNE,6' 7'',,8' 9.5'',228,6' 11.5'',2002
Kareem Rush,SG-SF,11.86,DNE,3.22,26,30,DNE,DNE,DNE,6' 4.75'',,8' 7.5'',199,6' 9.75'',2002
Kei Madison,SF,11.74,DNE,3.22,27.5,34.5,DNE,DNE,DNE,6' 7.75'',,8' 11'',216,7' 0.5'',2002
Kevin Lyde,C-PF,12.97,DNE,3.36,27.5,30.5,DNE,DNE,DNE,6' 8.75'',,9' 1.5'',278,7' 2'',2002
Kris Lang,C-PF,11.36,DNE,3.24,28,29,DNE,DNE,DNE,6' 9.25'',,9' 1'',242,6' 11.75'',2002
Lee Benson,SF-PF,11.44,DNE,3.29,27.5,32.5,DNE,DNE,DNE,6' 8.25'',,9' 1'',217,7' 1.75'',2002
Lenny Cooke,SG-SF,-,DNE,-,-,-,DNE,DNE,DNE,6' 5.5'',,8' 11'',214,7' 1'',2002
Lonnie Jones,C-PF,11.8,DNE,3.33,30.5,31.5,DNE,DNE,DNE,6' 10.25'',,9' 4'',230,7' 2.25'',2002
Lonny Baxter,PF-C,11.77,DNE,3.21,28,32.5,DNE,DNE,DNE,6' 6.25'',,8' 11.5'',264,7' 1.5'',2002
Lubos Barton,SF-SG,11.2,DNE,3.31,25.5,31.5,DNE,DNE,DNE,6' 6.5'',,8' 11'',221,7' 0'',2002
Luke Recker,SG-SF,10.78,DNE,3.27,25.5,31,DNE,DNE,DNE,6' 4.75'',,8' 5'',198,6' 7'',2002
Lynn Greer,PG,11.24,DNE,3.16,29.5,36.5,DNE,DNE,DNE,6' 0.25'',,7' 10.5'',170,6' 1'',2002
Marcus Haislip,PF,11.35,DNE,3.21,33.5,36.5,DNE,DNE,DNE,6' 8.5'',,8' 11'',221,7' 0'',2002
Marcus Taylor,PG,11.25,DNE,3.31,27.5,33.5,DNE,DNE,DNE,6' 1'',,8' 2.5'',181,6' 4.5'',2002
Mario Kasun,C,-,DNE,-,-,-,DNE,DNE,DNE,6' 11.75'',,9' 1'',260,6' 11.5'',2002
Matt Barnes,SF,10.68,DNE,3.28,35.5,40.5,DNE,DNE,DNE,6' 6.75'',,8' 0.5'',226,6' 9'',2002
Maurice Baker,PG,12.19,DNE,3.29,29.5,33,DNE,DNE,DNE,5' 11.75'',,8' 0'',178,6' 4'',2002
Melvin Ely,PF,11.96,DNE,3.35,26,29,DNE,DNE,DNE,6' 9'',,9' 3'',240,7' 4'',2002
Mike Dunleavy,SF,11.55,DNE,3.3,24.5,29,DNE,DNE,DNE,6' 8'',,8' 10'',230,6' 9'',2002
Mire Chatman,PG-SG,11.12,DNE,3.18,29,33,DNE,DNE,DNE,6' 0'',,8' 2'',174,6' 6'',2002
Muhammed Lasege,C-PF,12.96,DNE,3.29,27.5,30,DNE,DNE,DNE,6' 8.75'',,9' 0.5'',228,7' 2'',2002
Nene,PF,10.73,DNE,3.19,30,34,DNE,DNE,DNE,6' 9.25'',,9' 1'',253,7' 4.5'',2002
Peter Fehse,PF-C,-,DNE,-,-,-,DNE,DNE,DNE,6' 10'',,9' 1'',220,7' 0.5'',2002
Predrag Savovic,SG,10.94,DNE,3.38,22.5,28.5,DNE,DNE,DNE,6' 4.75'',,8' 6'',212,6' 7'',2002
Preston Shumpert,SF,11.03,DNE,3.24,28.5,29,DNE,DNE,DNE,6' 6'',,8' 7.5'',197,6' 8.5'',2002
Qyntel Woods,SF-SG,11.94,DNE,3.23,33.5,34.5,DNE,DNE,DNE,6' 7'',,8' 9'',213,6' 10'',2002
Randy Holcomb,SF-PF,12.85,DNE,3.22,29.5,35.5,DNE,DNE,DNE,6' 7'',,8' 9'',225,7' 1'',2002
Rasual Butler,SF,11.54,DNE,3.29,31.5,37.5,DNE,DNE,DNE,6' 6.75'',,8' 9.5'',198,7' 0'',2002
Reggie Evans,PF,12.73,DNE,3.26,26,29.5,DNE,DNE,DNE,6' 7.5'',,8' 11.5'',250,7' 2.5'',2002
Robert Archibald,PF-C,11.34,DNE,3.33,24,27.5,DNE,DNE,DNE,6' 10'',,9' 1.5'',250,6' 11.75'',2002
Rod Grizzard,SF-SG,-,DNE,-,-,-,DNE,DNE,DNE,6' 6'',,8' 11'',193,7' 0'',2002
Rolan Roberts,PF,11.36,DNE,3.33,32.5,37.5,DNE,DNE,DNE,6' 5.75'',,8' 9.5'',241,7' 1'',2002
Ronald Murray,SG,11.13,DNE,3.16,31,36.5,DNE,DNE,DNE,6' 3'',,8' 4.5'',197,6' 7.5'',2002
Ryan Humphrey,PF-SF,11.75,DNE,3.2,31.5,37.5,DNE,DNE,DNE,6' 6'',,8' 8.5'',223,7' 0'',2002
Sean Kennedy,PG,11.64,DNE,3.28,22.5,26.5,DNE,DNE,DNE,6' 0.75'',,8' 0'',182,6' 2.5'',2002
Smush Parker,PG-SG,12.3,DNE,3.26,21,28.5,DNE,DNE,DNE,6' 2.5'',,8' 11.5'',179,6' 10'',2002
Steve Logan,PG,-,DNE,-,-,-,DNE,DNE,DNE,5' 10'',,7' 8.5'',207,5' 11.75'',2002
Sylvere Bryan,PF,12.03,DNE,3.2,28.5,29.5,DNE,DNE,DNE,6' 9'',,9' 1.5'',226,7' 4.5'',2002
Tamar Slay,SF,10.94,DNE,3.09,32.5,38,DNE,DNE,DNE,6' 6.75'',,8' 8'',203,6' 11.5'',2002
Teddy Dupay,PG,10.53,DNE,3.19,28,33,DNE,DNE,DNE,5' 9.5'',,7' 6.5'',178,5' 10.75'',2002
Tito Maddox,PG,12.2,DNE,3.24,27,32.5,DNE,DNE,DNE,6' 3'',,8' 3'',200,6' 5'',2002
Travis Robinson,SF,11.96,DNE,3.43,26,33,DNE,DNE,DNE,6' 5.25'',,8' 8.5'',211,6' 10.5'',2002
Uche Okafor,PF-C,14.45,DNE,3.34,24.5,25,DNE,DNE,DNE,6' 9'',,9' 4'',229,7' 5.5'',2002
Udonis Haslem,PF,11.8,DNE,3.31,28.5,33.5,DNE,DNE,DNE,6' 7.75'',,8' 11'',250,6' 11'',2002
Vincent Yarbrough,SF,11.7,DNE,3.32,30,34,DNE,DNE,DNE,6' 5.5'',,8' 8.5'',202,7' 0.5'',2002
